المحور,الحرف,الاسم الإلهي,العنصر الكوني,السورة,النبي,الطاقة الروحية,النجم,البرج
1,ا,البديع,القلم/الأعلى,القلم/الأعلى,آدم,إلهي,ثريا,الثور
2,ه,الباعث,اللوح المحفوظ,الضحى,شيث,نفثي,دبران,الثور
3,ع,الباطن,الطبيعة,القدر,نوح,سبوحي,ذراع,الجوزاء
4,ح,الآخر,الهباء,الليل,إدريس,قدوسي,نثرة,الجوزاء
5,غ,الظاهر,الجسم الكلي,البينة,إبراهيم,مهيمني,مقعه,السرطان
6,خ,الحكيم,الشكل الكلي,التين,إسحاق,حمي,هنعه,السرطان
7,ق,المحيط,العرش,الفجر,إسماعيل,علي,ذراع,الأسد
8,ك,الشكور,الكرسي,الشمس,يعقوب,روحي,نثرة,الأسد
9,ج,الغني,فلك البروج,الإخلاص,يوسف,نوري,طرف,السرطان
10,ش,القدير,فلك المنازل,الفيل,هود,أحدي,ظرف,السرطان
11,ي,الرب,سماء زحل,قريش,صالح,فاتحي,زبرة,الأسد
12,ض,العليم,سماء المشتري,التكاثر,شعيب,قلبي,صرفه,العذراء
13,ل,القاهر,سماء المريخ,القارعة,لوط,ملكي,عواء,العذراء
14,ن,النور,سماء الشمس,العاديات,عزير,قدري,سماك,الميزان
15,ر,المصور,سماء الزهرة,العصر,عيسى,نبوي,غفر,الميزان
16,ط,المحصي,سماء الكتب (محتمل),الهمزة,سليمان,رحماني,زبانا,العقرب
17,د,المبين,سماء القمر,الماعون,داود,وجودي,إكليل,العقرب
18,ت,القابض,كرة النار,المسد,يونس,نفسي,قلب,القوس
19,ز,الحي,كرة الهواء,الشرح,أيوب,غيبي,شونه,القوس
20,س,المحيي,كرة الماء,الكوثر,يحيى,جلالي,نحام,الجدي
21,ص,المميت,كرة التراب,البلد,زكريا,ملكي,بندة,الجدي
22,ظ,العزيز,المعدن,النصر,إلياس,إيناسي,سعد الذابح,الجدي
23,ث,الرزاق,النبات,الزلزلة,لقمان,إحساني,سعد المانع,الدلو
24,د,المذل,الحيواني,الكافرون,هارون,إمامي,سعد السعود,الدلو
25,ف,القوي,الملائكة,الفلق,موسى,علوي,سعد الأخبية,الحوت
26,ب,اللطيف,الجن,الناس,خالد,صمدي,مقدم,الحوت
27,م,الجامع,الإنسان,الفاتحة,محمد,فردي,مؤخر,الحوت
28,و,رفيع الدرجات,تعيين المراتب,كل القرآن,الخاتم,الخاتم,رثاء,الحوت